0,1,2
2.8594437,-2.4862428,2.4007635
-4.825664,-5.456771,0.8443546
5.424118,1.7577753,9.03891
-5.3303337,0.95597553,-2.2258663
3.570671,-4.3367214,0.17293549
-4.4670887,-3.330639,-1.4777193
-4.669741,-0.45681715,-2.288334
2.8370085,-1.8011994,2.8381882
-4.396763,-4.4237585,-1.4912853
6.0567856,-2.322554,0.21979046
-6.63904,-1.2942848,6.8716097
3.576664,0.0861063,3.4577312
5.054674,-2.7380743,0.63272667
-6.66724,-1.199625,6.9187813
2.9843426,-0.7932558,3.088581
6.0390463,2.3218656,8.918268
5.720233,-2.0658283,0.643487
4.2671547,4.723527,-4.9125843
0.94030046,3.2613106,2.3837328
5.5987473,-1.0652528,2.278078
-5.3557186,0.3137908,-2.029066
1.7071376,3.2996154,3.3942347
-6.2638016,-1.310071,7.4606266
3.8008604,-0.4898939,2.5706062
5.691251,3.0866175,9.117474
3.9595528,4.714429,-5.011305
-6.459778,-1.2328606,7.258028
5.86617,-1.4817986,1.6177444
3.5682678,0.30836773,3.2499008
3.9613552,4.596544,-4.810527
1.9233303,3.586773,3.285205
-6.7967625,-1.0440736,6.7946377
3.3060522,0.20847464,3.6741304
-6.592746,-1.1250815,7.0034313
-6.455658,-1.289496,7.255475
5.434559,-1.5197525,1.6109161
4.1762133,4.7309856,-4.981907
2.862948,-0.8193121,2.9441967
1.377161,2.1858397,2.1711278
5.5174503,-1.7440491,1.4123368
4.10279,4.6462507,-4.991869
1.8423471,3.3441486,3.3866844
-5.0800724,-4.948514,1.162076
6.1565514,2.2840796,8.890189
6.032671,-1.9757099,0.9284477
3.1292982,-0.45815754,3.2361794
1.4562106,3.795332,3.4060235
-5.188736,-2.9126148,-0.64788723
5.6816034,-1.1099539,2.2228246
-1.114356,-3.1276875,-6.2755127
3.3958282,0.26325417,3.7505693
1.6863546,3.3961334,3.307496
-5.237809,-4.3184795,0.6415119
-6.831403,-1.0838094,6.7913656
5.9800797,-1.7227244,1.377655
3.5423079,0.060843468,3.476468
0.52228165,2.9589605,1.8095894
-6.5044994,-1.2794838,7.3931417
2.7502818,4.37074,-4.7947464
1.8803611,3.3721485,3.3727655
-5.1013927,-4.9895315,0.422884
3.1579485,-0.7188988,3.011911
5.5625715,-2.2238264,0.80878544
2.412569,2.0513983,3.3609405
5.3608274,4.650116,-4.8084717
3.5811062,0.24376774,3.3515987
1.6151776,3.326538,3.1723137
5.008548,4.7472897,-5.3228173
2.5010252,-1.5408435,2.6089673
2.1428127,3.9328709,-4.5199127
3.1266518,-0.4964471,3.1497002
-6.8195496,-1.0951276,6.7916203
6.1764984,2.1235328,8.920694
1.2007918,3.8408508,3.5185623
-6.856634,-1.0778756,6.76653
5.4137087,-2.3335962,0.90437984
-6.93758,-1.2348747,6.7806797
3.0940027,-0.657835,3.200204
5.7727604,-2.1733437,0.8067961
6.083192,1.9477224,8.971965
3.5940886,-0.38418198,3.1316118
1.1465845,2.2310686,2.1310034
5.309414,4.6158304,-5.333988
3.373322,0.15448761,3.8595772
3.089375,-0.60659266,3.1673155
-0.13731098,4.784807,3.3605394
-4.834293,-5.106473,0.569643
6.0821314,2.4357996,9.031082
5.5980587,-1.6928272,1.3462372
-4.410423,-1.8875818,-2.5711088
2.9557137,-1.2592812,2.7783413
-0.921618,3.9038315,1.7325845
5.887156,-2.2706795,0.62630033
-4.3383627,-1.0207701,-2.4629316
6.046356,-2.1018577,0.8494482
-6.78162,-1.084691,6.8330374
-0.27129984,4.18237,1.9449334
0.4778924,4.6376543,3.1263304
-5.173098,-4.4160757,0.74479103
6.0806923,2.5252419,9.201734
-4.32583,-1.5185394,-2.5648804
3.1652775,3.9355102,-4.7216587
3.4813337,3.825791,-4.889159
0.14688063,4.1767483,3.241315
-0.74319744,-2.9289942,-6.856949
-4.540313,-3.0039482,-1.218132
-4.8823195,-4.2884445,0.80100346
-4.5712852,0.04709673,-2.2013779
6.0091095,1.191761,8.922947
3.6578698,-1.642662,2.6381168
-4.734566,0.4159317,-2.1084328
6.0095425,1.1268849,8.902323
